Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,current_price,previous_price,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
0,Oppo,A17k ,6.56,3.0,64.0,,Dual,0.0,63.0,952.0,0.0,4.1,Gaff Electronics Kenya,94%,165,"[ (5 out of 5) I like it ], [ (1 out of 5) bad one ], [ (5 out of 5) more than what i expected . thanks ], [ (5 out of 5) phone great ], [ (5 out of 5) camers is legit ], [ (3 out of 5) Not really what I expected ], [ (5 out of 5) GREAT BRAND ], [ (5 out of 5) I like it ], [ (5 out of 5) Perfect ], [ (5 out of 5) I like it ]"
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,Oppo,A17k ,6.56,3.0,64.0,,Dual,0.0,63.0,952.0,0.0,4.7,Gaff Electronics Kenya,94%,165,"[ (5 out of 5) I like it ], [ (5 out of 5) great phone ], [ (5 out of 5) fast delivery and genuine product ], [ (5 out of 5) I like it ], [ (5 out of 5) Wonderful ], [ (4 out of 5) Review ], [ (5 out of 5) oppo a17k ], [ (4 out of 5) Faster delivery ]"
5,Samsung,Galaxy A14 ,6.6,4.0,128.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,,105.0,2788.0,43%,4.6,SmartNets Enterprises,74%,249,"[ (5 out of 5) I like it ], [ (5 out of 5) fast delivery!! ], [ (5 out of 5) i like it ], [ (2 out of 5) I like it ]"
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,Tecno,Spark 10 Pro ,6.8,8.0,128.0,50MP + 2MP + 32MP,Dual,5000.0,104.0,2720.0,43%,4.4,Minestar,86%,1002,No reviews
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,81.0,1564.0,22%,4.7,Tech Traders,86%,722,"[ (5 out of 5) GOOD ], [ (5 out of 5) I like it ], [ (5 out of 5) Like it! ], [ (5 out of 5) phone ], [ (5 out of 5) I love it ], [ (5 out of 5) Awesome! ], [ (4 out of 5) The Phone is great. ], [ (5 out of 5) I like it. ], [ (4 out of 5) Nice camera! However, put up 50MP main camera ], [ (4 out of 5) Like it so far! ]"
13,XIAOMI,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,Dual,5000.0,52.0,1088.0,28%,3.8,Xiaomi Ecco World - AC,80%,36,"[ (5 out of 5) I like it ], [ (4 out of 5) I like it ], [ (4 out of 5) I like it ], [ (4 out of 5) fare perfomance ], [ (1 out of 5) not worthy ], [ (2 out of 5) Slow Charging ], [ (5 out of 5) redmi A2+ ]"
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,Tecno,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,Dual,5000.0,77.0,1768.0,35%,4.8,Minestar,86%,1002,"[ (5 out of 5) It's a good product ], [ (4 out of 5) smart watch  ], [ (5 out of 5) Cool ], [ (5 out of 5) product and service delivery ], [ (5 out of 5) I like it ], [ (5 out of 5) Very nice!! ], [ (5 out of 5) Techno spark 10 ]"
17,,,,,,,,,,,,,,,,
